Title,Artist
Lose Control,1
A Bar Song (Tipsy),2
Beautiful Things,3
I Had Some Help,4
Lovin On Me,5
Not Like Us,6
Espresso,7
Million Dollar Baby,8
I Remember Everything,9
Too Sweet,10
Stick Season,11
Cruel Summer,12
Greedy,13
Like That,14
Birds Of A Feather,15
Please Please Please,16
Agora Hills,17
"Good Luck, Babe!",18
Saturn,19
Snooze,20
Paint The Town Red,21
Fortnight,22
Fast Car,23
Water,24
Feather,25
We Can't Be Friends (Wait For Your Love),26
Austin,27
Last Night,28
Cowgirls,29
Pink Skies,30
Thinkin' Bout Me,31
Texas Hold 'Em,32
Is It Over Now? (Taylor's Version) [From The Vault],33
Miles On It,34
I Can Do It With A Broken Heart,35
Wild Ones,36
Ain't No Love In Oklahoma,37
Carnival,38
Houdini,39
Wanna Be,40
Slow It Down,41
Redrum,42
Houdini,43
Yeah Glo!,44
Rich Baby Daddy,45
What Was I Made For?,46
End Of Beginning,47
Lunch,48
Never Lose Me,49
Lies Lies Lies,50
Type Shit,51
Gata Only,52
Hot To Go!,53
All I Want For Christmas Is You,54
Get It Sexyy,55
Made For Me,56
Vampire,57
Whatever She Wants,58
Rockin' Around The Christmas Tree,59
Pretty Little Poison,60
First Person Shooter,61
Die With A Smile,62
I Like The Way You Kiss Me,63
Need A Favor,64
Save Me,65
Euphoria,66
Truck Bed,67
Jingle Bell Rock,68
Flowers,69
Where The Wild Things Are,70
Everybody,71
La Diabla,72
Stargazing,73
Last Christmas,74
I Am Not Okay,75
Pour Me A Drink,76
White Horse,77
Lil Boo Thang,78
Good Good,79
Act II: Date @ 8,80
High Road,81
Monaco,82
IDGAF,83
Burn It Down,84
Fukumean,85
Taste,86
Where It Ends,87
FTCU,88
Wildflower,89
World On Fire,90
On My Mama,91
"Yes, And?",92
Exes,93
A Holly Jolly Christmas,94
Wind Up Missin' You,95
Bulletproof,96
FE!N,97
The Painter,98
Down Bad,99
Dance The Night,100
